Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Design),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
Test adding pending transfer for a client with an existing pending transfer,NEV-33,10535,Subtask,Done,NEV,Neverless,software,Sanjeev Sarda,5c42039d9760f569b628cc13,,Medium,Done,,,Sanjeev Sarda,5c42039d9760f569b628cc13,Sanjeev Sarda,5c42039d9760f569b628cc13,25/Apr/24 11:21 AM,25/Apr/24 11:25 AM,25/Apr/24 4:03 PM,25/Apr/24 11:25 AM,,0,,,Sanjeev Sarda,5c42039d9760f569b628cc13,,,,,,,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-25T11:25:21.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i002rp:,,,,,,,,,,,,10046_*:*_1_*:*_280682_*|*_10048_*:*_1_*:*_0,10525,Pending transaction tracker implementation,Done,25/Apr/24 11:25 AM
Test adding pending withdraw for a client with an existing pending withdraw,NEV-32,10534,Subtask,Done,NEV,Neverless,software,Sanjeev Sarda,5c42039d9760f569b628cc13,,Medium,Done,,,Sanjeev Sarda,5c42039d9760f569b628cc13,Sanjeev Sarda,5c42039d9760f569b628cc13,25/Apr/24 11:21 AM,25/Apr/24 11:24 AM,25/Apr/24 4:03 PM,25/Apr/24 11:24 AM,,0,,,Sanjeev Sarda,5c42039d9760f569b628cc13,,,,,,,,,,,,,,,{},,,,,,,,0|i002rh:,,,,,,,,,,,,10046_*:*_1_*:*_207306_*|*_10048_*:*_1_*:*_0,10525,Pending transaction tracker implementation,Done,25/Apr/24 11:24 AM
Update comments on null safety,NEV-31,10533,Subtask,Done,NEV,Neverless,software,Sanjeev Sarda,5c42039d9760f569b628cc13,,Medium,Done,,,Sanjeev Sarda,5c42039d9760f569b628cc13,Sanjeev Sarda,5c42039d9760f569b628cc13,25/Apr/24 11:19 AM,25/Apr/24 11:21 AM,25/Apr/24 4:03 PM,25/Apr/24 11:21 AM,,0,,,Sanjeev Sarda,5c42039d9760f569b628cc13,,,,,,,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-25T11:19:58.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i002r9:,,,,,,,,,,,,10046_*:*_1_*:*_89277_*|*_10048_*:*_1_*:*_0,10525,Pending transaction tracker implementation,Done,25/Apr/24 11:21 AM
Test getting pending withdraws,NEV-30,10532,Subtask,Done,NEV,Neverless,software,Sanjeev Sarda,5c42039d9760f569b628cc13,,Medium,Done,,,Sanjeev Sarda,5c42039d9760f569b628cc13,Sanjeev Sarda,5c42039d9760f569b628cc13,25/Apr/24 11:09 AM,25/Apr/24 11:19 AM,25/Apr/24 4:03 PM,25/Apr/24 11:19 AM,,0,,,Sanjeev Sarda,5c42039d9760f569b628cc13,,,,,,,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-25T11:18:51.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i002r1:,,,,,,,,,,,,10046_*:*_1_*:*_586183_*|*_10048_*:*_1_*:*_0,10525,Pending transaction tracker implementation,Done,25/Apr/24 11:19 AM
Test getting pending transfers,NEV-29,10531,Subtask,Done,NEV,Neverless,software,Sanjeev Sarda,5c42039d9760f569b628cc13,,Medium,Done,,,Sanjeev Sarda,5c42039d9760f569b628cc13,Sanjeev Sarda,5c42039d9760f569b628cc13,25/Apr/24 11:09 AM,25/Apr/24 11:19 AM,25/Apr/24 4:03 PM,25/Apr/24 11:19 AM,,0,,,Sanjeev Sarda,5c42039d9760f569b628cc13,,,,,,,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-25T11:18:26.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i002qt:,,,,,,,,,,,,10046_*:*_1_*:*_588478_*|*_10048_*:*_1_*:*_0,10525,Pending transaction tracker implementation,Done,25/Apr/24 11:19 AM
Test adding a withdraw,NEV-28,10530,Subtask,Done,NEV,Neverless,software,Sanjeev Sarda,5c42039d9760f569b628cc13,,Medium,Done,,,Sanjeev Sarda,5c42039d9760f569b628cc13,Sanjeev Sarda,5c42039d9760f569b628cc13,25/Apr/24 11:09 AM,25/Apr/24 11:12 AM,25/Apr/24 4:03 PM,25/Apr/24 11:12 AM,,0,,,Sanjeev Sarda,5c42039d9760f569b628cc13,,,,,,,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-25T11:12:58.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i002ql:,,,,,,,,,,,,10046_*:*_1_*:*_192261_*|*_10048_*:*_1_*:*_0,10525,Pending transaction tracker implementation,Done,25/Apr/24 11:12 AM
Test adding a transfer,NEV-27,10529,Subtask,Done,NEV,Neverless,software,Sanjeev Sarda,5c42039d9760f569b628cc13,,Medium,Done,,,Sanjeev Sarda,5c42039d9760f569b628cc13,Sanjeev Sarda,5c42039d9760f569b628cc13,25/Apr/24 11:09 AM,25/Apr/24 11:12 AM,25/Apr/24 4:03 PM,25/Apr/24 11:12 AM,,0,,,Sanjeev Sarda,5c42039d9760f569b628cc13,,,,,,,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-25T11:11:04.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i002qd:,,,,,,,,,,,,10046_*:*_1_*:*_194345_*|*_10048_*:*_1_*:*_0,10525,Pending transaction tracker implementation,Done,25/Apr/24 11:12 AM
Add JUnit and Mockito deps,NEV-26,10528,Subtask,Done,NEV,Neverless,software,Sanjeev Sarda,5c42039d9760f569b628cc13,,Medium,Done,,,Sanjeev Sarda,5c42039d9760f569b628cc13,Sanjeev Sarda,5c42039d9760f569b628cc13,25/Apr/24 11:08 AM,25/Apr/24 11:10 AM,25/Apr/24 4:03 PM,25/Apr/24 11:10 AM,,0,,,Sanjeev Sarda,5c42039d9760f569b628cc13,,,,,,,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-25T11:09:10.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i002q5:,,,,,,,,,,,,10046_*:*_1_*:*_87780_*|*_10048_*:*_1_*:*_0,10525,Pending transaction tracker implementation,Done,25/Apr/24 11:10 AM
Refactor asset details into entities,NEV-25,10527,Subtask,Done,NEV,Neverless,software,Sanjeev Sarda,5c42039d9760f569b628cc13,,Medium,Done,,,Sanjeev Sarda,5c42039d9760f569b628cc13,Sanjeev Sarda,5c42039d9760f569b628cc13,25/Apr/24 10:47 AM,25/Apr/24 10:49 AM,25/Apr/24 4:03 PM,25/Apr/24 10:49 AM,,0,,,Sanjeev Sarda,5c42039d9760f569b628cc13,,,,,,,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-25T10:48:14.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i002px:,,,,,,,,,,,,10046_*:*_1_*:*_137155_*|*_10048_*:*_1_*:*_0,10525,Pending transaction tracker implementation,Done,25/Apr/24 10:49 AM
Fix accidental transfer and refactor,NEV-24,10526,Subtask,Done,NEV,Neverless,software,Sanjeev Sarda,5c42039d9760f569b628cc13,,Medium,Done,,,Sanjeev Sarda,5c42039d9760f569b628cc13,Sanjeev Sarda,5c42039d9760f569b628cc13,25/Apr/24 10:43 AM,25/Apr/24 10:45 AM,25/Apr/24 4:03 PM,25/Apr/24 10:45 AM,,0,,,Sanjeev Sarda,5c42039d9760f569b628cc13,,,,,,,,,,,,,,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2024-04-25T10:43:19.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i002pp:,,,,,,,,,,,,10046_*:*_1_*:*_133222_*|*_10048_*:*_1_*:*_0,10525,Pending transaction tracker implementation,Done,25/Apr/24 10:45 AM
